Text,Sentiment
"ZNGA Still shows red and dead on a enko view, PF Box size 0.25  ",Negative
"GS enko view of GS, PF Box size = 5 showing potential to break to 175  ",Positive
"NVDA enko view showing red and dead, need 14 or more for a long & less than 13 for a short  ",Negative
"CSX enko view, PF Box size = 1,  VEY bullish above 21, coal stocks confirming move on rails.  ",Positive
GOOG And on enko w/ a PF Box size of 50 it looks like a failed breakout  ,Negative
user At 155 for GS but very bullish on fins as rates are low = The FED Put!,Positive
user ZNGA I use lagging indicators on lagging stocks ;),Negative
"GOOG, I like it with a close above 744.96",Positive
FS b/o above bull flag on heavy vol. etest of support today on light vol. 41% short float  ,Positive
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.  ,Positive
Financials continue ripping. Easy money. C approaching 43 PT  ,Positive
VS follow throughs. 10 DMA crossing above 200 DMA. Trading above all MA's. Great setup  ,Positive
"user BAC Yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.",Negative
New buys today from watch list all did well  NX 20% SONS YEP  BCEI  GDP  AY and SQNM Total triggers this week 39 - a big week,Positive
"SBX  #SI #EarthThis is the kind of stuff that makes us perk up (so sorry!).but, go on...bullish five waves to 58.    ",Positive
"Can you say no brainier? ong SBAC stock, 60/80 Feb collar for protection...  ",Positive
Anyone can say how much svu would go even if the deal goes through? 4? 5? Not sure if much upside left.,Positive
NVDA the bounce continues and the stock has now cleared its 200SMA and the 13 level. ong   ,Positive
AXTI Momentum picking up w/ MACD climbing/SI rising.OBV indicator made a new higher high this week  ,Positive
GDOT OBV is moving upwards which means that big money is moving into the stock slowly. ong  ,Positive
aapl daily (see notes)  ,Positive
AMZN daily (see notes)  ,Positive
C daily (see notes)   ,Positive
"EGOV long 16.62 strong above all MA's, resting/basing, room to upper bolly to absorb 10/20 day atr  ",Positive
AA Fibs   Friends   ,Positive
TSA: Judge Dismisses Massachusetts State Automobile Dealers Association awsuit -  ,Positive
BAC up trending doesn't appear to slow down as of yet. It's prudent to take some profit at time.  ,Positive
"FE - looks like it fired a sell signal Friday, may trade this short on tick below Friday low - have to do more work on utilities later...",Negative
coh also got rejected by cloud but still in slight uptrend for past few. buy when it enters cloud  ,Positive
yum looks good here out of cloud with stops of either 200 sma or cloud under it. target of 50 sma  ,Positive
EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some ideas for next week.  Favorite setup is EQIX  ,Positive
"EQIX No position, would like to see a breakout over 216.50. Prefer more consolidation though  ",Positive
Time for a contraction in AAP.down to test 500 this week by Weds.long Jan11th 510/500 put spread  ,Negative
AAP Bounce Coming?   ,Positive
FS en fuego!!   ,Positive
AXA Over-Sold in Oscillating ange....indicators suggest buy price holds above prev close + increase in volume.,Positive
A few I'm not holding but will check out. user: Bullish MACD cross: BBG COP ENI EOG JEC IG SFY XE XOP,Positive
"JDS beautiful trend, 13.5 should bring out the dip buyers",Positive
ko has trouble staying above 200 day sma past few weeks. could short here or higher stops above 38  ,Negative
mako a red day monday breaks support and could test old lows of 9-9.25  ,Negative
After-hour Most Advanced: OPT MAKO FOD GNMK JDS EGE AMN PX AAY DDD SV PM BKS F,Positive
GOOG with simple Fibonacci projections on close over 739. 127.2% at 766 and 161.8% at 802  ,Positive
Why I am buying AAP on Monday -  ,Positive
user: AMZN over 263 has a Measured Move to 307  ,Positive
user The INO pipeline and the partnerships with the ni's and MK--that pretty much sums it up...,Positive
"AMZN the data company, not the retailer.  A new post by me.   ",Positive
Trading environment favors long side. Don't over stay welcome. Too few quality leaders. GS AMH OCN EGN HOV AAP  ,Negative
AAP what an amazing run it has been since 2005. I don't think it's over.   ,Positive
A Tale of Two Stocks  AAP GOOG SPY QQQ,Positive
F Ford's Powerful Bullish Pattern Dictates Price Direction  ,Positive
DT - Descending triangle. ower highs. Didn't participate well in the rally & it's overbought.   ,Negative
CVA Over 19.00  ,Positive
MCK  Over 100.05 -   ,Positive
VMED you know we prefer 3-4 day pullback to reverse so maybe Mon or Tuesday on flag break or at sup  ,Positive
"Just kidding, more legible version. Currently long FS (tweeted on friday)  ",Positive
Ford will perform well due to Hurricane Sandy's destruction. F Palladium will do well PA Banks are a buy picks are BAC C SAN GS,Positive
GS is a buy on pullback to 133 or on bigger pullback to 130.,Positive
CEG keep it on you watch list.,Positive
I wish TV would die already like all the Newspapers told me  CBS ftw!,Positive
I think AAP is heading back down to check in on 506 support again,Negative
AMZN but but but.....yap yap yap,Positive
SNDK pattern looking more interesting. Can it successfully break into the gap this time around?  ,Positive
"#AMZN at all-time highs pre-market , aapl still plunging.  should be an interesting trading day!",Positive
See risk to ES_F 1442.00-1423.75 as bearish momentum divergences resolve SPX SPY #stocks.   ,Negative
user: ONXX strong price & vol expansion friday. possibly looking for higher prices  > another biotech with 2 levels,Positive
ZNGA Momentum building to the upside.? On watch.,Positive
ES from watch list also fast move today  volume of 77% ave full day as usually tiny volume  ,Positive
TWI like this long 24% short...  ,Positive
"Green Weekly Triangle on HEO,....pdating  ",Negative
EOG - 60 min pullback to breakout - watching 1/2 position    ,Positive
KCG to 3.75?,Positive
ZCS almost hit my stop loss...glad to see it heading back up,Positive
AAP closed my short for some nice gains.,Negative
"V beautiful uptrend since June '12. Never once broke higher high, higher low trend  ",Positive
The most awesome AAP trendline ever. Since 1986!!   ,Negative
"DDD - ong  27.95. Trailing Stop  42.35 from 7 prior Stops of 41.70, 39.03, 36.53, 32.35, 27.95, 25.44 and 22.93 -  ",Positive
NX was largest watch list gainer new buy on Friday and biggest mover today so protect gains  ,Positive
"Green Weekly Triangle on KTOS,....pdating  ",Negative
ak corrected me - PPHM  largest watch list gainer today - though it gapped up big on open   ,Positive
AAP positive close above 530 today is bullish. I'll be looking for possible ONG set up.,Positive
CEG possible ONG today if you want to play the JPMOGAN BIOtech conference.,Positive
"FME: ong  10.25. Trailing Stop  13.75 from 8 prior Stops of 12.29, 11.50, 10.97, 10.63, 10.36, ... 9.64 & 9.03 -  ",Positive
I showed this MA on Friday with the upside orange dot traget at 517+ hit that this morn now red dot  ,Negative
TO triggered above 34. First target 34.55-.90,Positive
SXC - breaking above key downward channel level. ikely to move much higher from here.  ,Positive
"must follow the young man user: AMZN the data company, not the retailer.  A new post by me.   ",Positive
PG short back on,Negative
OVTI downgrade on Sept 7th 16.77 after Q1 looking good. next filing Q3 end of feb.  ,Negative
VS option trader sells 26k of the 47.25 - 52.25 call spreads in March. Big bet that stock will be below 47.25 by March expiry,Negative
"AA option traders bet on bad earnings selling 6,200 Jan 9C and buying 3,200 Jan 9P. Could be hedge on stock. Both trades against low OI",Negative
SKX Q3 operational cash flow negative 60million. 80million decline vs.Q3 2011,Negative
SKX 9 mos. 2012 operational cash flow negative 20 million. 95 million decline vs. 9mos 2011,Negative
"ed Weekly Triangle on SNSS,.....pdating  ",Positive
BAC avrg 12.127 ,Positive
First trade coming back from vacation. HOT short at 59.80. Stop at 60.30,Negative
"Green Weekly Triangle on SCC,....pdating  ",Negative
PODD breaking out to new 52wk highs from a decent base  ,Positive
3 horsemen of high beta momo chase FS GMC NFX being slammed a bit here : advanced tell that the new year party is over for the mrkt ?,Negative
PNA looks like a solid set up,Positive
Names to buy on pullbacks GS CEG FB F,Positive
BA for a flush down,Negative
"Amazon Breaks 1,600 (adjusting for the splits)  via user AMZN",Positive
"Financials XF have been driving this mkt higher, today they are weak-ish (except for JPM) for 1st time in while, little red flag 1...",Negative
on our ive Broadcast we got this long signal on PCN and covered discount buy-in ! needs push  ,Positive
"AMZN VOME is a go, big boys grabbing some stocks. Higher prices to come.",Positive
TWI at highs not seen since September  ,Positive
"user won gold in our 2011 stock contest w V,  won silver in 2012 w TKC. Will his DDAIF call win in 2013?  ",Positive
AMZN FB your pick for higher prices this week. Both breaking out with considerable volume.,Positive
Eceryone wants a piece of PCN gorwth and magic...stakes are so high...innovation so fast and marketing stakes high  ,Positive
"user scheplick It's easy to short AMZN - buy an iPad Mini, a tax prep book at Borders and some ackspace time.;-)",Negative
Might open a position on S today. Cup and handle can make this one fly to 7-7.5 quickly.,Positive
"CS, KOS positive.... nice reversal in KOS",Positive
AXP trying to make a move too. Getting interesting.,Positive
MA a strong follow thru day after breaking out to new highs last Friday - confirmation is solid  ,Positive
"V new highs, looking for higher prices from here  ",Positive
CEG a strong breakout to new highs today on 2x the daily avg. volume. ooks good for more upside  ,Positive
WETF cheap financial stock that is trying to b/o. Would like to see a pullback/consolidation first  ,Positive
"NFX shorts should be paranoid on every close as a buyout will come 1 night from aapl, msft, goog, amzn, etc.  dominate webtv long nflx",Positive
"As in the last 3 sessions, last hour buyers are back, more money need to be put to work... money flows... SPY TT ES_F",Positive
"user The stock isn't telling us anything new, but the trend is saying a lot. This E is AAP's most anticipated in years.",Positive
All of the above: rax setting up again  spy,Positive
PCN - long entry  ,Positive
"Green Weekly Triangle on AMPE,....Sell Short at 4.15  ",Negative
"Green Weekly & Monthly Triangle on FWS,....pdating to Monthly  ",Negative
"user are you saying ZAGG will up another 23%, how?",Negative
"Green Weekly & Monthly Triangle on PAB,....pdating  ",Negative
744.96 IS A great level for a close on GOOG,Positive
"AAP short-term outlook. 3 possible scenarios, 2 of them are bullish  ",Positive
Barclays upside case for CSOD is a year end price target of 46.  Based on 8x cy'14 revenues and 10% upside to estimates. Quite achievable!,Positive
CTXS (conservative swing) once again bouncing nicely off support (w/volume)  MCP (aggressive swing) however strong probability.,Positive
user: AMZN it's time for this bird to fly south!  ,Negative
"VVS Technicals are positive for a continued climb. SI, OBV and MACD all look good to me  ",Positive
"AKX b/out 13.78, like the base action under spot & declining vol, ripe for pop  ",Positive
"HAO b/out 7.20, price was rejected at 7.19 today, also high on 12/21  ",Positive
"HWAY b/out 11.08, nice base under the spot  ",Positive
yum down premarket through the cloud but has support at about 62.75   ,Negative
"Multi-day downswing in ES_F favored, see demand zone at 1442.00-1423.75 SPX SPY #stocks.   ",Negative
"MON - not making sales here - we will be buyers of weakness, looks like game on for a while...",Positive
FIN 9mos Operational cash flow declines 15million vs. prior yr first 9mos.  198% decline,Negative
AYI Q1 Operational Cash Flow turns Negative,Negative
AYI 1st negative operational cash flow quarter since quarter Novemebr 2008,Negative
AYI 2013 Q1 operational Cash flow negative 14.5 million. decline of 41 million vs. Q1 2012.  152% decline,Negative
my 526.20 bid not hit in aapl so i am expecting at least a move to 540 today :),Positive
"MON 2013 Q1 operational cash flow 1.569 billion,  a 459 million increase vs 2012 Q1.  41% increase",Positive
fio nothing but air under stock until 17.70-17.80  ,Negative
"AAP daily fade in motion again, people that want to be out are still at work...",Negative
I shorted NFX here with a 1.00 stop.,Negative
CTIC got long,Positive
Catch up user: Hot inks is totally off the hook this morning - so many great reads  AAP MACO,Positive
IHS year end operational cash flow declined 27 million vs. 2011. an  8.19% decline,Negative
Watch XF JPM BAC OD closely...,Negative
unit cost at 1.60 this see a bounce CTIC,Positive
with little whips on pops and drops don't go all in on one purchase avg in through out the day limit exposure and % of portfolio CTIC,Positive
"SHD Get short, someone big must be exiting imo... Sitting on some 40 puts from this am!",Negative
MON - added,Positive
"If you'd like to gag on the New American Socialism, enjoy this video courtesy AIG:  ",Negative
JNP - added,Positive
X - added,Positive
"user Mr. Florida, hope all is well.  You've trade SAVE in the past, so Im asking you.  Do you like it here?  ooking to fill gap?",Positive
SHD ... why won't you die already? ampert doesn't know 2 sh*ts about running a retail. He bought Sears for the property... ,Negative
"WN: ong  19.79. Trailing Stop  24.39 from 6 prior Stops of 23.76, 20.42, 19.79, 18.09, 17.13 and 16.39 -  ",Positive
"DECK: Short  66.41. Trailing Stop  44.16 down from 5 prior Stops of 51.65, 59.07, 66.41, 74.13 & 81.85 -  ",Negative
WFM - short back on,Negative
"nice base building here 1.50 -1.54 on CTIC should test hod's in the afternoon, setting up nicely for follow thru tomorrow. #tradeoftheweek",Positive
up to 16 million shares on CTIC almost 10x avg daily vol. I don't think this is a one day story. Gap up to 2.05 plenty of rm to run imho,Positive
SHD Eddie ampert is a 1 trick pony...,Negative
"et the angry, anecdotal comments begin: Why I still think BlackBerry & IM are doomed.  IMM AAP GOOG NOK T VZ",Negative
user I think AAP putting in a long term bottom.....of course I could be wrong but that is what it looks like :-),Positive
i had a price alert go off for WWW while off the desk.,Negative
GG to be delisted soon typicall pump and dump same story over the last few months be careful one day trades over a mil next day ur stuck,Negative
TSO option trader buys 10k of the Feb 40P for 1.60. A 1.6 million bet stock will be below 40 by Feb exp. Could be hedge too. OI is 544,Negative
DDD SSY Stops honored.  So be it. Now.... must.not.become.bearshitter.,Negative
CYBX keeps consolidating near all-time highs  ,Positive
DDD The sentiment on this stock can change in a blink of an eye.  Not for the faint of heart.  Still long term bullish.,Positive
MCP bottom at 11.00? Strong esistance. nder these level...short breakout Chance.,Negative
AIG wins the awsuit then announces dividend reinstatement. :),Positive
TIVO is a buyout coming? Sure seems strong of late?,Positive
biggest mistake i made all day was not sticking to my gut on reversal in #SOAS #2 not sticking to my watchlist DK STP ANA KOG,Positive
DDD looks an easy short,Negative
My instincts are spot on in 2013 and still think CTIC will hit 2.05 this wk but still want to stick to my morning watchlist & not chase,Positive
AX looks good for higher prices  ,Positive
CM holding up well   ,Positive
